PNU,주용도코드명,대지면적(㎡),건축면적(㎡),연면적(㎡),용적률(%),건폐율(%)
1171010100100010001,제1종근린생활시설,284992.4,258.13,567.77,0.2,0.09
1171010100100100003,문화및집회시설,0.0,0.0,1487.94,0.0,0.0
1171010100100100001,문화및집회시설,0.0,0.0,1487.94,0.0,0.0
1171010100100100002,문화및집회시설,0.0,0.0,1487.94,0.0,0.0
1171010100100100005,문화및집회시설,0.0,0.0,1487.94,0.0,0.0
1171010100100100004,문화및집회시설,0.0,0.0,1487.94,0.0,0.0
1171010100100100003,운동시설,402815.9,34333.18,100151.5,38.6,20.0
1171010100100100002,운동시설,402815.9,34333.18,100151.5,38.6,20.0
1171010100100100004,운동시설,402815.9,34333.18,100151.5,38.6,20.0
1171010100100100001,운동시설,402815.9,34333.18,100151.5,38.6,20.0
1171010100100100005,운동시설,402815.9,34333.18,100151.5,38.6,20.0
1171010100100100002,제1종근린생활시설,0.0,0.0,419.1,0.0,0.0
1171010100100100004,제1종근린생활시설,0.0,0.0,419.1,0.0,0.0
1171010100100100003,제1종근린생활시설,0.0,0.0,419.1,0.0,0.0
1171010100100100001,제1종근린생활시설,0.0,0.0,419.1,0.0,0.0
1171010100100100005,제1종근린생활시설,0.0,0.0,419.1,0.0,0.0
1171010100100100004,운동시설,0.0,0.0,11471.12,0.0,0.0
1171010100100100005,운동시설,0.0,0.0,11471.12,0.0,0.0
1171010100100100001,운동시설,0.0,0.0,11471.12,0.0,0.0
1171010100100100003,운동시설,0.0,0.0,11471.12,0.0,0.0
1171010100100100002,운동시설,0.0,0.0,11471.12,0.0,0.0
1171010100100100001,,,,,,
1171010100100100005,,,,,,
1171010100100100003,,,,,,
1171010100100100002,,,,,,
1171010100100100004,,,,,,
1171010100100100001,운동시설,0.0,0.0,26278.49,0.0,0.0
1171010100100100005,운동시설,0.0,0.0,26278.49,0.0,0.0
1171010100100100003,운동시설,0.0,0.0,26278.49,0.0,0.0
1171010100100100004,운동시설,0.0,0.0,26278.49,0.0,0.0
1171010100100100002,운동시설,0.0,0.0,26278.49,0.0,0.0
1171010100100100003,운동시설,0.0,0.0,22479.34,0.0,0.0
1171010100100100001,운동시설,0.0,0.0,22479.34,0.0,0.0
1171010100100100002,운동시설,0.0,0.0,22479.34,0.0,0.0
1171010100100100005,운동시설,0.0,0.0,22479.34,0.0,0.0
1171010100100100004,운동시설,0.0,0.0,22479.34,0.0,0.0
1171010100100100001,운동시설,0.0,3042.45,4631.87,0.0,0.0
1171010100100100003,운동시설,0.0,3042.45,4631.87,0.0,0.0
1171010100100100002,운동시설,0.0,3042.45,4631.87,0.0,0.0
1171010100100100005,운동시설,0.0,3042.45,4631.87,0.0,0.0
1171010100100100004,운동시설,0.0,3042.45,4631.87,0.0,0.0
1171010100100100001,제1종근린생활시설,0.0,0.0,140.0,0.0,0.0
1171010100100100005,제1종근린생활시설,0.0,0.0,140.0,0.0,0.0
1171010100100100004,제1종근린생활시설,0.0,0.0,140.0,0.0,0.0
1171010100100100002,제1종근린생활시설,0.0,0.0,140.0,0.0,0.0
1171010100100100003,제1종근린생활시설,0.0,0.0,140.0,0.0,0.0
1171010100100100004,위험물저장및처리시설,0.0,0.0,21.2,0.0,0.0
1171010100100100002,위험물저장및처리시설,0.0,0.0,21.2,0.0,0.0
1171010100100100001,위험물저장및처리시설,0.0,0.0,21.2,0.0,0.0
1171010100100100003,위험물저장및처리시설,0.0,0.0,21.2,0.0,0.0
1171010100100100005,위험물저장및처리시설,0.0,0.0,21.2,0.0,0.0
1171010100100100005,문화및집회시설,0.0,0.0,59229.75,0.0,0.0
1171010100100100004,문화및집회시설,0.0,0.0,59229.75,0.0,0.0
1171010100100100002,문화및집회시설,0.0,0.0,59229.75,0.0,0.0
1171010100100100001,문화및집회시설,0.0,0.0,59229.75,0.0,0.0
1171010100100100003,문화및집회시설,0.0,0.0,59229.75,0.0,0.0
1171010100100190009,,,,,,
1171010100100190008,,,,,,
1171010100100220006,공동주택,0.0,18.4,18.4,0.0,0.0
1171010100100220006,공동주택,0.0,48.6,18201.88,0.0,0.0
1171010100100220006,공동주택,0.0,16.2,40058.46,0.0,0.0
1171010100100220006,공동주택,0.0,17.29,17.29,0.0,0.0
1171010100100220006,공동주택,0.0,14.53,14.11,0.0,0.0
1171010100100220006,,,,,,
1171010100100220006,공동주택,0.0,17.29,17.29,0.0,0.0
1171010100100220006,공동주택,0.0,18.4,18.4,0.0,0.0
1171010100100220006,공동주택,0.0,18.4,18.4,0.0,0.0
1171010100100220006,공동주택,0.0,18.4,18.4,0.0,0.0
1171010100100220006,공동주택,0.0,17.29,17.29,0.0,0.0
1171010100100220006,공동주택,0.0,17.29,17.29,0.0,0.0
1171010100100220006,공동주택,0.0,17.29,17.29,0.0,0.0
1171010100100220006,공동주택,0.0,14.53,14.11,0.0,0.0
1171010100100220006,공동주택,0.0,38.7,38.7,0.0,0.0
1171010100100220006,공동주택,0.0,404.06,24235.88,0.0,0.0
1171010100100220006,공동주택,0.0,300.38,37545.52,0.0,0.0
1171010100100220006,공동주택,0.0,32.4,27186.93,0.0,0.0
1171010100100220006,공동주택,0.0,16.2,13044.5,0.0,0.0
1171010100100220006,공동주택,0.0,16.2,21103.37,0.0,0.0
1171010100100220006,공동주택,0.0,32.4,41705.28,0.0,0.0
1171010100100220006,공동주택,0.0,186.42,28742.32,0.0,0.0
1171010100100220006,공동주택,0.0,14.53,14.11,0.0,0.0
1171010100100220006,공동주택,0.0,17.29,17.29,0.0,0.0
1171010100100220006,공동주택,0.0,38.7,38.7,0.0,0.0
1171010100100220006,공동주택,0.0,374.14,653.48,0.0,0.0
1171010100100220006,공동주택,0.0,0.0,25599.77,0.0,0.0
1171010100100220006,공동주택,0.0,188.62,774.34,0.0,0.0
1171010100100220006,공동주택,0.0,391.74,33653.79,0.0,0.0
1171010100100220006,공동주택,0.0,38.7,38.7,0.0,0.0
1171010100100350002,,,,,,
1171010100100350003,,,,,,
1171010100100390000,판매시설,0.0,0.0,4331.79,0.0,0.0
1171010200100280000,판매시설,0.0,0.0,4331.79,0.0,0.0
1171010200100290009,판매시설,0.0,0.0,4331.79,0.0,0.0
1171010100100440001,공동주택,0.0,8.64,8.64,0.0,0.0
1171010100100440003,공동주택,0.0,8.64,8.64,0.0,0.0
1171010100100440001,,,,,,
1171010100100440003,,,,,,
1171010100100440001,공동주택,0.0,16.5,651.0,0.0,0.0
1171010100100440003,공동주택,0.0,16.5,651.0,0.0,0.0
1171010100100440001,공동주택,0.0,14.56,38853.84,0.0,0.0
1171010100100440003,공동주택,0.0,14.56,38853.84,0.0,0.0
1171010100100440001,공동주택,0.0,0.0,120.0,0.0,0.0
1171010100100440003,공동주택,0.0,0.0,120.0,0.0,0.0
1171010100100440001,공동주택,0.0,0.0,215.35,0.0,0.0
1171010100100440003,공동주택,0.0,0.0,215.35,0.0,0.0
1171010100100440001,공동주택,0.0,43.68,68137.08,0.0,0.0
1171010100100440003,공동주택,0.0,43.68,68137.08,0.0,0.0
1171010100100440001,공동주택,0.0,8.64,8.64,0.0,0.0
1171010100100440003,공동주택,0.0,8.64,8.64,0.0,0.0
1171010100100440001,공동주택,0.0,527.65,1278.99,0.0,0.0
1171010100100440003,공동주택,0.0,527.65,1278.99,0.0,0.0
1171010100100440001,공동주택,0.0,8.64,8.64,0.0,0.0
1171010100100440003,공동주택,0.0,8.64,8.64,0.0,0.0
1171010100100440001,공동주택,0.0,16.5,467.04,0.0,0.0
1171010100100440003,공동주택,0.0,16.5,467.04,0.0,0.0
1171010100100440001,공동주택,0.0,29.12,46335.54,0.0,0.0
1171010100100440003,공동주택,0.0,29.12,46335.54,0.0,0.0
1171010100100440001,공동주택,0.0,8.64,8.64,0.0,0.0
1171010100100440003,공동주택,0.0,8.64,8.64,0.0,0.0
1171010100100440001,공동주택,0.0,8.64,8.64,0.0,0.0
1171010100100440003,공동주택,0.0,8.64,8.64,0.0,0.0
1171010100100440001,공동주택,0.0,0.0,178.95,0.0,0.0
1171010100100440003,공동주택,0.0,0.0,178.95,0.0,0.0
1171010100100470001,관광휴게시설,285757.0,0.0,75.0,0.0,0.0
1171010100100470001,관광휴게시설,285757.0,4.2,4.2,0.001,0.001
1171010100100470001,제1종근린생활시설,168648.5,207.79,373.49,0.2215,0.1232
1171010100100470001,관광휴게시설,285757.0,4.06,4.06,0.001,0.001
1171010100100470001,관광휴게시설,282757.0,0.0,11.0,0.0,0.0
1171010100100470001,제2종근린생활시설,168648.5,279.5,624.17,0.2610992,0.1657293
1171010100100470001,관광휴게시설,285757.0,0.0,47.0,0.0,0.0
1171010100100470001,관광휴게시설,285757.0,0.0,770.0,0.0,0.0
1171010100100470001,관광휴게시설,285757.0,178.64,162.61,0.057,0.063
1171010100100470001,,,,,,
1171010100100470001,관광휴게시설,285757.0,0.0,30.0,0.0,0.0
1171010100100470001,관광휴게시설,285757.0,0.0,8.0,0.0,0.0
1171010100100470001,제2종근린생활시설,282757.0,0.0,517.0,0.0,0.0
1171010100100470001,관광휴게시설,282757.0,0.0,101.24,0.0,0.0
1171010100100470001,관광휴게시설,282757.0,0.0,877.51,0.0,0.0
1171010100100470001,관광휴게시설,282757.0,0.0,54.0,0.0,0.0
1171010100100470001,관광휴게시설,285757.0,0.0,64.0,0.0,0.0
1171010100100470001,관광휴게시설,285757.0,0.0,1716.0,0.0,0.0
1171010100100470001,관광휴게시설,285757.0,0.0,12.0,0.0,0.0
1171010100100470001,관광휴게시설,285757.0,0.0,17.0,0.0,0.0
1171010100100470001,관광휴게시설,285757.0,0.0,79.0,0.0,0.0
1171010100100470001,관광휴게시설,285757.0,0.0,3404.55,0.0,0.0
1171010100100470001,제2종근린생활시설,168648.5,516.79,475.25,0.28,0.31
1171010100100470001,관광휴게시설,8250.0,2049.9,2049.9,24.85,24.85
1171010100100470001,관광휴게시설,285757.0,5.76,5.76,0.002,0.002
1171010100100470001,관광휴게시설,285757.0,0.0,37.0,0.0,0.0
1171010100100470001,관광휴게시설,8250.0,0.0,563.37,0.0,0.0
1171010100100470001,관광휴게시설,285757.0,0.0,110.0,0.0,0.0
1171010100100470001,관광휴게시설,282757.0,0.0,15.0,0.0,0.0
1171010100100470001,관광휴게시설,285757.0,0.0,99.0,0.0,0.0
1171010100100470001,관광휴게시설,285757.0,0.0,16.0,0.0,0.0
1171010100100470001,관광휴게시설,285757.0,0.0,71.0,0.0,0.0
1171010100100470001,관광휴게시설,285757.0,0.0,46.0,0.0,0.0
1171010100100470001,관광휴게시설,282757.0,0.0,9397.0,0.0,0.0
1171010100100470001,관광휴게시설,285757.0,0.0,14.0,0.0,0.0
1171010100100470001,관광휴게시설,8264.5,192.0,192.0,0.0,0.0
1171010100100470001,관광휴게시설,285757.0,271.65,464.92,0.163,0.095
1171010100100850001,제1종근린생활시설,0.0,0.0,10672.0,0.0,0.0
1171010100100860001,공동주택,0.0,0.0,15202.44,0.0,0.0
1171010100100860001,공동주택,0.0,0.0,12935.538,0.0,0.0
1171010100100860001,공동주택,0.0,0.0,14660.39,0.0,0.0
1171010100100860001,공동주택,0.0,0.0,11942.403,0.0,0.0
1171010100100860001,,,,,,
1171010100100860001,공동주택,0.0,0.0,15202.44,0.0,0.0
1171010100100860001,공동주택,0.0,0.0,11942.403,0.0,0.0
1171010100100860001,공동주택,0.0,0.0,15202.44,0.0,0.0
1171010100100860001,공동주택,0.0,0.0,11942.403,0.0,0.0
1171010100100860001,공동주택,0.0,0.0,15202.44,0.0,0.0
1171010100100860001,공동주택,0.0,0.0,15202.44,0.0,0.0
1171010100100860001,공동주택,0.0,0.0,7330.195,0.0,0.0
1171010100100860001,공동주택,0.0,0.0,11942.403,0.0,0.0
1171010100100860001,공동주택,0.0,0.0,7330.195,0.0,0.0
1171010100100860001,공동주택,0.0,0.0,7330.195,0.0,0.0
1171010100100860001,공동주택,0.0,0.0,15202.44,0.0,0.0
1171010100100860001,공동주택,0.0,0.0,11942.403,0.0,0.0
1171010100100860001,공동주택,0.0,0.0,11942.403,0.0,0.0
1171010100100860001,공동주택,0.0,0.0,14660.39,0.0,0.0
1171010100100990007,업무시설,0.0,0.0,1221.44,0.0,0.0
1171010100100990009,업무시설,0.0,0.0,1443.16,0.0,0.0
1171010100101750027,공동주택,1533.4,823.85,11617.82,549.82,53.73
1171010100101750022,공동주택,1533.4,823.85,11617.82,549.82,53.73
1171010100101750007,의료시설,951.6,560.72,8900.15,784.46,58.92
1171010100101750021,업무시설,717.6,430.43,4703.03,514.81,59.98
